IND,POP,BASIN
23-07451,Pelee Island,West Basin
23-07452,Pelee Island,West Basin
23-07453,Pelee Island,West Basin
23-07454,Pelee Island,West Basin
23-07455,Pelee Island,West Basin
23-07456,Pelee Island,West Basin
23-07457,Pelee Island,West Basin
23-07458,Pelee Island,West Basin
23-07459,Pelee Island,West Basin
23-07460,Pelee Island,West Basin
23-07461,Pelee Island,West Basin
23-07462,Pelee Island,West Basin
23-07463,Pelee Island,West Basin
23-07464,Pelee Island,West Basin
23-07465,Pelee Island,West Basin
23-07467,Pelee Island,West Basin
23-07468,Pelee Island,West Basin
23-07469,Pelee Island,West Basin
23-07470,Pelee Island,West Basin
23-07471,Pelee Island,West Basin
23-07472,Pelee Island,West Basin
23-07473,Pelee Island,West Basin
23-07474,Pelee Island,West Basin
23-07475,Pelee Island,West Basin
23-07476,Pelee Island,West Basin
23-07477,Pelee Island,West Basin
23-07478,Pelee Island,West Basin
23-07479,Pelee Island,West Basin
23-07480,Pelee Island,West Basin
23-07481,Pelee Island,West Basin
23-07482,Pelee Island,West Basin
23-07483,Pelee Island,West Basin
23-07484,Pelee Island,West Basin
23-07485,Pelee Island,West Basin
23-07486,Pelee Island,West Basin
23-07487,Pelee Island,West Basin
23-07488,Pelee Island,West Basin
23-07489,Pelee Island,West Basin
23-07490,Pelee Island,West Basin
23-07491,Pelee Island,West Basin
23-07492,Pelee Island,West Basin
23-07493,Pelee Island,West Basin
23-07494,Pelee Island,West Basin
23-07495,Pelee Island,West Basin
23-12172,Pelee Island,West Basin
23-12173,Pelee Island,West Basin
23-12174,Pelee Island,West Basin
23-12175,Pelee Island,West Basin
23-12176,Pelee Island,West Basin
23-12177,Pelee Island,West Basin
23-12178,Pelee Island,West Basin
23-12179,Pelee Island,West Basin
23-12180,Pelee Island,West Basin
23-12181,Pelee Island,West Basin
23-12182,Pelee Island,West Basin
23-12183,Pelee Island,West Basin
23-12184,Pelee Island,West Basin
23-12185,Pelee Island,West Basin
23-12186,Pelee Island,West Basin
23-12187,Pelee Island,West Basin
23-12188,Pelee Island,West Basin
23-12189,Pelee Island,West Basin
23-12190,Pelee Island,West Basin
23-12191,Pelee Island,West Basin
23-12192,Pelee Island,West Basin
23-12193,Pelee Island,West Basin
23-12194,Pelee Island,West Basin
23-12195,Pelee Island,West Basin
23-12196,Pelee Island,West Basin
23-12197,Pelee Island,West Basin
23-12198,Pelee Island,West Basin
23-12199,Pelee Island,West Basin
23-12200,Pelee Island,West Basin
23-12101,Maumee Bay,West Basin
23-12102,Maumee Bay,West Basin
23-12103,Maumee Bay,West Basin
23-12104,Maumee Bay,West Basin
23-12105,Maumee Bay,West Basin
23-12106,Maumee Bay,West Basin
23-12107,Maumee Bay,West Basin
23-12108,Maumee Bay,West Basin
23-12109,Maumee Bay,West Basin
23-12110,Maumee Bay,West Basin
23-12111,Maumee Bay,West Basin
23-12112,Maumee Bay,West Basin
23-12113,Maumee Bay,West Basin
23-12114,Maumee Bay,West Basin
23-12115,Maumee Bay,West Basin
23-12116,Maumee Bay,West Basin
23-12117,Maumee Bay,West Basin
23-12118,Maumee Bay,West Basin
23-12119,Maumee Bay,West Basin
23-12120,Maumee Bay,West Basin
23-12121,Maumee Bay,West Basin
23-12122,Maumee Bay,West Basin
23-12123,Maumee Bay,West Basin
23-12124,Maumee Bay,West Basin
23-12125,Maumee Bay,West Basin
23-12126,Maumee Bay,West Basin
23-12127,Maumee Bay,West Basin
23-12128,Maumee Bay,West Basin
23-12129,Maumee Bay,West Basin
23-12130,Maumee Bay,West Basin
23-12131,Maumee Bay,West Basin
23-12132,Maumee Bay,West Basin
23-12133,Maumee Bay,West Basin
23-12134,Maumee Bay,West Basin
23-12135,Maumee Bay,West Basin
23-12136,Maumee Bay,West Basin
23-12137,Maumee Bay,West Basin
23-12138,Maumee Bay,West Basin
23-12139,Maumee Bay,West Basin
23-12140,Maumee Bay,West Basin
23-12141,Maumee Bay,West Basin
23-12142,Maumee Bay,West Basin
23-12143,Maumee Bay,West Basin
23-12144,Maumee Bay,West Basin
23-12145,Maumee Bay,West Basin
23-12146,Maumee Bay,West Basin
24-12061,Maumee Bay,West Basin
24-12062,Maumee Bay,West Basin
24-12063,Maumee Bay,West Basin
24-12064,Maumee Bay,West Basin
24-12065,Maumee Bay,West Basin
24-12066,Maumee Bay,West Basin
24-12067,Maumee Bay,West Basin
24-12068,Maumee Bay,West Basin
24-12069,Maumee Bay,West Basin
24-12070,Maumee Bay,West Basin
24-12071,Maumee Bay,West Basin
24-12072,Maumee Bay,West Basin
24-12073,Maumee Bay,West Basin
24-12074,Maumee Bay,West Basin
24-12076,Maumee Bay,West Basin
24-12077,Maumee Bay,West Basin
24-12078,Maumee Bay,West Basin
24-12079,Maumee Bay,West Basin
24-12080,Maumee Bay,West Basin
24-12081,Maumee Bay,West Basin
24-12082,Maumee Bay,West Basin
24-12083,Maumee Bay,West Basin
24-12084,Maumee Bay,West Basin
24-12086,Maumee Bay,West Basin
24-12087,Maumee Bay,West Basin
24-12088,Maumee Bay,West Basin
24-12089,Maumee Bay,West Basin
24-12090,Maumee Bay,West Basin
24-12091,Maumee Bay,West Basin
24-12001,Maumee Bay,West Basin
24-12002,Maumee Bay,West Basin
24-12003,Maumee Bay,West Basin
24-12004,Maumee Bay,West Basin
24-12005,Maumee Bay,West Basin
24-12006,Maumee Bay,West Basin
24-12007,Maumee Bay,West Basin
24-12008,Maumee Bay,West Basin
24-12009,Maumee Bay,West Basin
24-12010,Maumee Bay,West Basin
24-12011,Maumee Bay,West Basin
24-12012,Maumee Bay,West Basin
24-12013,Maumee Bay,West Basin
24-12014,Maumee Bay,West Basin
24-12015,Maumee Bay,West Basin
24-12016,Maumee Bay,West Basin
24-12017,Maumee Bay,West Basin
24-12018,Maumee Bay,West Basin
24-12019,Maumee Bay,West Basin
24-12020,Maumee Bay,West Basin
24-12021,Maumee Bay,West Basin
24-12022,Maumee Bay,West Basin
24-12023,Maumee Bay,West Basin
24-12024,Maumee Bay,West Basin
24-12025,Maumee Bay,West Basin
24-12026,Maumee Bay,West Basin
24-12027,Maumee Bay,West Basin
24-12028,Maumee Bay,West Basin
24-12029,Maumee Bay,West Basin
24-12030,Maumee Bay,West Basin
