LG	window	start	end	count	countHigh	countLow	Max	Min	PropHigh	PropLow	quantile_bin	index
192	390	39000015	39099579	142	63	0	2.92916	0.491819	0.443661971830986	0	2	390
192	469	46907834	46999918	443	351	0	4.43049	0.4647	0.792325056433409	0	9	469
192	495	49501459	49599981	346	196	0	3.87101	-0.210186	0.566473988439306	0	8	495
192	496	49600183	49699710	347	212	0	3.35138	0.0881479	0.610951008645533	0	8	496
192	505	50506915	50599573	224	130	0	3.09178	0.914644	0.580357142857143	0	5	505
192	506	50600125	50699762	342	252	0	3.67758	1.16652	0.736842105263158	0	8	506
192	507	50700616	50798950	403	287	0	3.95945	-0.0497743	0.712158808933002	0	9	507
192	512	51200276	51299867	345	224	0	3.16924	0.588665	0.64927536231884	0	8	512
192	534	53400687	53499839	381	188	0	3.91104	-0.32504	0.493438320209974	0	9	534
192	949	94900474	94993503	402	187	0	2.99431	-0.462091	0.465174129353234	0	9	943
193	68	6800252	6896126	213	125	0	3.38612	0.289828	0.586854460093897	0	3	1057
193	73	7302568	7399096	232	162	0	4.04714	-0.0250806	0.698275862068966	0	4	1062
193	229	22900897	22999177	449	380	0	4.36068	0.556367	0.846325167037862	0	9	1218
193	230	23005696	23095562	45	22	0	3.76885	0.43263	0.488888888888889	0	1	1219
193	232	23200500	23288850	301	192	0	4.66405	0.0334828	0.637873754152824	0	6	1221
193	233	23302400	23398246	659	537	0	4.73664	-1.17886	0.814871016691957	0	10	1222
194	60	6000174	6099840	129	44	0	2.97556	-0.926856	0.341085271317829	0	2	1461
194	194	19400520	19498955	203	112	0	3.56665	0.363428	0.551724137931034	0	3	1595
194	200	20002923	20097389	135	48	0	3.29582	0.779571	0.355555555555556	0	2	1601
194	280	28000046	28099037	264	104	0	3.68601	-0.202336	0.393939393939394	0	5	1681
194	310	31000304	31099863	314	180	0	3.06031	0.354093	0.573248407643312	0	7	1711
194	356	35600355	35699778	685	457	0	3.43511	0.978645	0.667153284671533	0	10	1757
195	116	11603419	11699994	157	131	0	3.47919	1.10203	0.834394904458599	0	3	1980
195	117	11700533	11799414	220	132	0	3.67379	0.0492617	0.6	0	5	1981
195	118	11800556	11899752	258	223	0	4.08206	1.26645	0.864341085271318	0	7	1982
195	119	11900148	11991756	224	173	0	4.18522	-0.38759	0.772321428571429	0	6	1983
195	243	24300209	24399837	511	365	0	3.61792	0.526293	0.714285714285714	0	10	2104
195	244	24400371	24499623	286	169	0	3.31363	0.609283	0.590909090909091	0	8	2105
196	166	16600118	16699601	420	251	0	3.23152	-0.547345	0.597619047619048	0	9	2273
196	256	25600228	25699904	291	160	0	3.84089	-0.31178	0.549828178694158	0	6	2363
196	257	25702295	25795144	236	181	0	3.16228	0.364887	0.766949152542373	0	5	2364
196	258	25800479	25895152	310	296	0	4.35574	1.58804	0.954838709677419	0	7	2365
196	353	35313116	35399098	63	51	0	3.98578	0.316079	0.80952380952381	0	1	2459
196	354	35401223	35499997	156	54	0	3.30299	0.649979	0.346153846153846	0	2	2460
196	440	44002863	44099769	92	48	0	3.02547	0.0592568	0.521739130434783	0	1	2546
197	222	22226323	22299826	152	69	0	3.45941	-1.35878	0.453947368421053	0	2	2794
197	231	23100063	23199813	276	237	0	4.22191	-1.05861	0.858695652173913	0	7	2803
197	271	27102280	27199731	197	118	0	2.88782	0.275137	0.598984771573604	0	4	2843
197	308	30801306	30893859	338	300	0	5.08016	-0.249658	0.887573964497041	0	8	2880
197	386	38600627	38698542	379	186	0	2.74846	0.223593	0.490765171503958	0	9	2957
198	277	27700167	27799910	104	64	0	2.69096	1.19188	0.615384615384615	0	1	3381
198	278	27800405	27869066	149	149	0	3.96042	2.37599	1	0	3	3382
198	279	27926243	27997936	141	77	0	3.4436	0.630755	0.546099290780142	0	2	3383
198	284	28400022	28499692	413	239	0	3.94728	0.896649	0.578692493946731	0	10	3388
198	285	28501346	28599967	224	116	0	3.81675	0.643071	0.517857142857143	0	6	3389
198	286	28600180	28699821	284	127	0	2.88637	0.422869	0.447183098591549	0	8	3390
