facet	subfacet	snp.facet	snp.subfacet	position	sigma	step	nk.status	gaussian	n_snps	triple_sigma	fst
pop	CB~CR	.base	.base	0	200	50	TRUE	TRUE	15	FALSE	0.039350836447332366
pop	CB~DR	.base	.base	0	200	50	TRUE	TRUE	15	FALSE	-0.0016003374143088583
pop	CB~LP	.base	.base	0	200	50	TRUE	TRUE	15	FALSE	0.07490880330634744
pop	CB~MB	.base	.base	0	200	50	TRUE	TRUE	15	FALSE	0.021342501374812098
pop	CB~NR	.base	.base	0	200	50	TRUE	TRUE	15	FALSE	0.05612838358007735
pop	CB~TR	.base	.base	0	200	50	TRUE	TRUE	15	FALSE	0.060411318721592305
pop	CR~DR	.base	.base	0	200	50	TRUE	TRUE	15	FALSE	0.031521438878072974
pop	CR~LP	.base	.base	0	200	50	TRUE	TRUE	15	FALSE	0.009629481749463532
pop	CR~MB	.base	.base	0	200	50	TRUE	TRUE	15	FALSE	0.002127804277741383
pop	CR~NR	.base	.base	0	200	50	TRUE	TRUE	15	FALSE	0.003569373861538218
pop	CR~TR	.base	.base	0	200	50	TRUE	TRUE	15	FALSE	0.005680340649548504
pop	DR~LP	.base	.base	0	200	50	TRUE	TRUE	15	FALSE	0.03610819997438086
pop	DR~MB	.base	.base	0	200	50	TRUE	TRUE	15	FALSE	0.01591365196855802
pop	DR~NR	.base	.base	0	200	50	TRUE	TRUE	15	FALSE	0.026587726050217
pop	DR~TR	.base	.base	0	200	50	TRUE	TRUE	15	FALSE	0.034699403475187844
pop	LP~MB	.base	.base	0	200	50	TRUE	TRUE	15	FALSE	-0.004166908285103717
pop	LP~NR	.base	.base	0	200	50	TRUE	TRUE	15	FALSE	-0.0028002628712088832
pop	LP~TR	.base	.base	0	200	50	TRUE	TRUE	15	FALSE	0.0018989976790476223
pop	MB~NR	.base	.base	0	200	50	TRUE	TRUE	15	FALSE	-0.007132559224063853
pop	MB~TR	.base	.base	0	200	50	TRUE	TRUE	15	FALSE	0.006053796015051842
pop	NR~TR	.base	.base	0	200	50	TRUE	TRUE	15	FALSE	-0.00345285073871858
pop	CB~CR	.base	.base	50000	200	50	TRUE	TRUE	22	FALSE	0.04403617561032881
pop	CB~DR	.base	.base	50000	200	50	TRUE	TRUE	22	FALSE	3.24026185400739e-4
pop	CB~LP	.base	.base	50000	200	50	TRUE	TRUE	22	FALSE	0.06118183083541115
pop	CB~MB	.base	.base	50000	200	50	TRUE	TRUE	22	FALSE	0.010465408966519742
pop	CB~NR	.base	.base	50000	200	50	TRUE	TRUE	22	FALSE	0.04353160290085184
pop	CB~TR	.base	.base	50000	200	50	TRUE	TRUE	22	FALSE	0.045722645793875645
pop	CR~DR	.base	.base	50000	200	50	TRUE	TRUE	22	FALSE	0.0269541823739895
pop	CR~LP	.base	.base	50000	200	50	TRUE	TRUE	22	FALSE	0.008599090844533933
pop	CR~MB	.base	.base	50000	200	50	TRUE	TRUE	22	FALSE	0.003705223932071163
pop	CR~NR	.base	.base	50000	200	50	TRUE	TRUE	22	FALSE	0.002604023223074741
pop	CR~TR	.base	.base	50000	200	50	TRUE	TRUE	22	FALSE	0.005909623914944986
pop	DR~LP	.base	.base	50000	200	50	TRUE	TRUE	22	FALSE	0.025181574682572185
pop	DR~MB	.base	.base	50000	200	50	TRUE	TRUE	22	FALSE	0.007457502950591427
pop	DR~NR	.base	.base	50000	200	50	TRUE	TRUE	22	FALSE	0.01690019866707722
pop	DR~TR	.base	.base	50000	200	50	TRUE	TRUE	22	FALSE	0.02205193449962851
pop	LP~MB	.base	.base	50000	200	50	TRUE	TRUE	22	FALSE	-0.0015265985417621689
pop	LP~NR	.base	.base	50000	200	50	TRUE	TRUE	22	FALSE	6.001766912290234e-4
pop	LP~TR	.base	.base	50000	200	50	TRUE	TRUE	22	FALSE	0.002008048241043778
pop	MB~NR	.base	.base	50000	200	50	TRUE	TRUE	22	FALSE	-0.007601205963077429
pop	MB~TR	.base	.base	50000	200	50	TRUE	TRUE	22	FALSE	2.0696899274013977e-4
pop	NR~TR	.base	.base	50000	200	50	TRUE	TRUE	22	FALSE	-0.003911993294670355
pop	CB~CR	.base	.base	100000	200	50	TRUE	TRUE	29	FALSE	0.05419240965589376
pop	CB~DR	.base	.base	100000	200	50	TRUE	TRUE	29	FALSE	0.011765304909344668
pop	CB~LP	.base	.base	100000	200	50	TRUE	TRUE	29	FALSE	0.05879547137220479
pop	CB~MB	.base	.base	100000	200	50	TRUE	TRUE	29	FALSE	0.009623133201135078
pop	CB~NR	.base	.base	100000	200	50	TRUE	TRUE	29	FALSE	0.04503752602669868
pop	CB~TR	.base	.base	100000	200	50	TRUE	TRUE	29	FALSE	0.04867987370600307
pop	CR~DR	.base	.base	100000	200	50	TRUE	TRUE	29	FALSE	0.023168774330180084
pop	CR~LP	.base	.base	100000	200	50	TRUE	TRUE	29	FALSE	0.005966148287764828
pop	CR~MB	.base	.base	100000	200	50	TRUE	TRUE	29	FALSE	0.005428916116330944
pop	CR~NR	.base	.base	100000	200	50	TRUE	TRUE	29	FALSE	0.002924712633663678
pop	CR~TR	.base	.base	100000	200	50	TRUE	TRUE	29	FALSE	0.004118136807299442
pop	DR~LP	.base	.base	100000	200	50	TRUE	TRUE	29	FALSE	0.017565832553309936
pop	DR~MB	.base	.base	100000	200	50	TRUE	TRUE	29	FALSE	0.005288287725154458
pop	DR~NR	.base	.base	100000	200	50	TRUE	TRUE	29	FALSE	0.009976962640497349
pop	DR~TR	.base	.base	100000	200	50	TRUE	TRUE	29	FALSE	0.019821422790063003
pop	LP~MB	.base	.base	100000	200	50	TRUE	TRUE	29	FALSE	0.0020833578275544643
pop	LP~NR	.base	.base	100000	200	50	TRUE	TRUE	29	FALSE	0.001990303978195102
pop	LP~TR	.base	.base	100000	200	50	TRUE	TRUE	29	FALSE	7.832537755066868e-4
pop	MB~NR	.base	.base	100000	200	50	TRUE	TRUE	29	FALSE	-0.0018578543121085455
pop	MB~TR	.base	.base	100000	200	50	TRUE	TRUE	29	FALSE	0.0015046841458447745
pop	NR~TR	.base	.base	100000	200	50	TRUE	TRUE	29	FALSE	2.589883400149323e-4
pop	CB~CR	.base	.base	150000	200	50	TRUE	TRUE	29	FALSE	0.0566263036422888
pop	CB~DR	.base	.base	150000	200	50	TRUE	TRUE	29	FALSE	0.01420028407449807
pop	CB~LP	.base	.base	150000	200	50	TRUE	TRUE	29	FALSE	0.05614775791169666
pop	CB~MB	.base	.base	150000	200	50	TRUE	TRUE	29	FALSE	0.00802865286040428
pop	CB~NR	.base	.base	150000	200	50	TRUE	TRUE	29	FALSE	0.04371786813565882
pop	CB~TR	.base	.base	150000	200	50	TRUE	TRUE	29	FALSE	0.048032885250605235
pop	CR~DR	.base	.base	150000	200	50	TRUE	TRUE	29	FALSE	0.022420863107530293
pop	CR~LP	.base	.base	150000	200	50	TRUE	TRUE	29	FALSE	0.005586002999304588
