LG	window	start	end	count	countHigh	countLow	Max	Min	PropHigh	PropLow	quantile_bin	index
192	41	4102568	4199580	424	170	16	3.39179	-2.75383	0.400943396226415	0.0377358490566038	9	42
192	250	25000271	25096209	386	155	0	3.65895	-1.0054	0.401554404145078	0	9	250
192	426	42600176	42696440	200	137	0	4.3207	0.431925	0.685	0	4	426
192	670	67000150	67099655	187	86	0	3.50164	0.649043	0.459893048128342	0	4	670
192	672	67200435	67299943	299	167	0	2.96483	0.213117	0.558528428093645	0	7	672
192	872	87203777	87299938	104	44	0	3.18497	0.600403	0.423076923076923	0	2	870
192	996	99600013	99638895	55	34	0	3.68507	0.228286	0.618181818181818	0	1	988
193	84	8400553	8499122	175	75	0	3.24214	-0.703975	0.428571428571429	0	2	1073
193	144	14401195	14498596	217	70	0	3.82388	-0.790991	0.32258064516129	0	3	1133
193	207	20704856	20799996	96	35	0	3.01589	-0.173414	0.364583333333333	0	1	1196
193	214	21401025	21494348	237	120	0	3.62719	-0.593147	0.506329113924051	0	4	1203
193	410	41000317	41099876	357	191	0	3.23235	0.537293	0.535014005602241	0	8	1399
194	161	16100311	16199062	134	57	0	3.42964	-0.65765	0.425373134328358	0	2	1562
194	169	16900047	16999681	366	252	0	4.62393	-0.92039	0.688524590163934	0	8	1570
194	171	17100240	17199325	401	161	0	3.66836	-0.289906	0.401496259351621	0	9	1572
194	239	23901376	23994178	307	263	0	4.14069	-0.46981	0.856677524429967	0	7	1640
195	53	5301288	5397983	204	101	0	3.18683	0.72772	0.495098039215686	0	5	1917
195	135	13500047	13599087	226	79	0	3.2274	0.725559	0.349557522123894	0	6	1999
196	110	1.1e+07	11099582	435	160	0	3.05318	1.0752	0.367816091954023	0	9	2217
196	244	24400244	24499724	326	191	0	4.71555	0.00706876	0.585889570552147	0	7	2351
196	256	25600228	25699904	291	112	0	3.54228	-0.0670181	0.384879725085911	0	6	2363
196	258	25800479	25895152	310	162	0	3.75048	0.15727	0.52258064516129	0	7	2365
197	157	15700258	15799871	307	145	0	2.90866	-0.185887	0.472312703583062	0	8	2729
197	207	20700006	20799658	239	136	0	4.17168	0.184733	0.569037656903766	0	5	2779
197	210	21001456	21094754	95	44	0	4.35015	-0.611682	0.463157894736842	0	1	2782
197	242	24200444	24299850	297	123	0	3.09457	0.000800491	0.414141414141414	0	7	2814
197	389	38901821	38998224	203	105	0	3.78778	-0.3254	0.517241379310345	0	4	2960
197	390	39000018	39099997	321	204	0	4.17508	-0.687417	0.635514018691589	0	8	2961
198	328	32800817	32899659	174	75	0	3.68554	-1.01308	0.431034482758621	0	4	3432
198	391	39100997	39199962	160	53	0	3.08019	-0.832163	0.33125	0	3	3495
198	413	41302793	41398256	163	53	0	3.86255	0.114957	0.325153374233129	0	3	3517
198	562	56200030	56292190	164	61	0	3.78265	0.124318	0.371951219512195	0	3	3666
198	563	56301243	56398688	53	26	0	3.7179	0.574269	0.490566037735849	0	1	3667
199	37	3700083	3799898	734	421	0	4.08997	-0.199355	0.573569482288828	0	10	3893
199	319	31905753	31999912	373	216	0	3.92064	-0.216617	0.579088471849866	0	8	4171
199	354	35404385	35498740	63	38	0	4.08997	1.18837	0.603174603174603	0	1	4206
200	68	6801074	6896068	308	143	0	2.95381	0.839984	0.464285714285714	0	8	4588
200	69	6900865	6991571	380	152	0	3.75832	0.0611851	0.4	0	9	4589
200	128	12800702	12899169	324	156	9	3.93352	-2.66328	0.481481481481481	0.0277777777777778	8	4648
200	151	15101867	15199362	279	241	0	4.54921	1.22602	0.863799283154122	0	7	4671
200	226	22602297	22699892	114	72	0	3.34931	0.99595	0.631578947368421	0	1	4746
200	227	22701583	22798802	208	92	0	2.93856	0.945495	0.442307692307692	0	4	4747
200	228	22800743	22898321	102	51	0	2.91204	0.349059	0.5	0	1	4748
200	255	25500374	25599913	173	63	0	2.87384	-0.0636466	0.364161849710983	0	3	4775
200	568	56801091	56899795	153	77	0	3.65969	0.741049	0.503267973856209	0	2	5081
200	569	56900171	56997472	189	82	0	3.06309	0.646012	0.433862433862434	0	3	5082
200	571	57100573	57199651	266	130	0	3.67542	-0.593085	0.488721804511278	0	6	5084
201	35	3502484	3598263	185	79	0	3.62636	-1.76277	0.427027027027027	0	2	5120
201	124	12400456	12499496	409	199	0	3.61454	-1.5456	0.486552567237164	0	8	5209
201	479	47900079	47999863	238	93	0	3.23247	0.969349	0.390756302521008	0	4	5564
201	599	59900014	59999501	548	391	0	4.38996	-0.50547	0.713503649635037	0	10	5684
201	644	64400590	64499724	259	188	0	3.26346	0.225974	0.725868725868726	0	5	5729
202	110	11000012	11099998	382	179	0	3.4639	-0.203708	0.468586387434555	0	8	5844
202	132	13200207	13298093	194	157	0	3.38269	1.45113	0.809278350515464	0	3	5866
202	135	13501798	13599749	107	53	0	3.18884	0.828807	0.495327102803738	0	1	5869
202	159	15900103	15999328	180	74	0	2.96131	0.767933	0.411111111111111	0	2	5893
202	160	16000222	16097962	179	139	0	3.53427	1.27038	0.776536312849162	0	2	5894
202	167	16700023	16799961	243	133	0	3.10569	-0.0190617	0.547325102880658	0	5	5901
202	287	28703651	28799948	294	146	0	3.31189	-0.310248	0.496598639455782	0	6	6021
202	350	35000249	35099424	310	125	0	3.74098	0.225845	0.403225806451613	0	7	6084
202	441	44100353	44199875	350	163	0	3.23098	-0.970533	0.465714285714286	0	8	6175
202	524	52400957	52482317	223	137	0	5.33985	0.352581	0.614349775784753	0	4	6257
203	54	5407470	5499902	219	88	0	2.93537	-0.768136	0.401826484018265	0	4	6324
203	155	15506138	15599785	202	66	3	3.31256	-2.20645	0.326732673267327	0.0148514851485149	3	6425
203	165	16501036	16595250	134	48	0	3.25923	-1.00474	0.358208955223881	0	1	6435
203	321	32100423	32199299	291	123	0	3.91018	-1.00656	0.422680412371134	0	6	6591
203	456	45600234	45699654	276	136	0	3.90038	-0.929707	0.492753623188406	0	6	6726
204	1	110135	199130	423	327	0	3.49044	0.249077	0.773049645390071	0	9	6900
204	93	9300070	9399737	158	65	0	4.0454	-1.31032	0.411392405063291	0	2	6991
204	185	18500571	18599091	390	188	0	2.90456	0.890527	0.482051282051282	0	9	7083
204	226	22601282	22696470	167	77	0	3.38915	0.18341	0.461077844311377	0	2	7124
204	228	22800253	22899859	205	104	0	3.23808	0.924769	0.507317073170732	0	4	7126
204	259	25901346	25998702	312	227	0	3.39276	-0.234937	0.727564102564103	0	7	7157
205	229	22900648	22999693	264	101	0	3.55766	-1.95519	0.382575757575758	0	4	7706
205	246	24600008	24699433	266	189	0	3.3457	0.236033	0.710526315789474	0	5	7723
205	260	26001096	26099673	53	20	0	2.80467	-0.395004	0.377358490566038	0	1	7737
205	287	28700702	28799166	203	154	0	4.05586	-0.564148	0.758620689655172	0	2	7764
205	305	30500542	30599166	344	205	0	3.99088	0.2927	0.59593023255814	0	7	7782
205	313	31300177	31399201	203	79	0	2.76423	0.956716	0.389162561576355	0	2	7790
205	424	42401401	42499961	219	81	0	2.86888	-0.312589	0.36986301369863	0	3	7901
205	445	44500041	44599041	298	107	0	3.53027	-0.225433	0.359060402684564	0	6	7922
206	36	3600199	3698036	271	115	0	4.07411	-1.16051	0.424354243542435	0	6	7986
206	37	3700575	3799413	221	152	0	4.96136	0.148993	0.687782805429864	0	5	7987
206	38	3804946	3896346	222	129	0	3.10023	0.873927	0.581081081081081	0	5	7988
206	180	18000392	18099539	128	58	0	2.8557	0.940053	0.453125	0	2	8129
206	181	18100152	18196561	151	72	0	3.5425	0.0744141	0.47682119205298	0	2	8130
206	183	18301595	18397160	39	29	0	3.51479	0.584708	0.743589743589744	0	1	8132
206	211	21100290	21199957	202	114	0	4.01363	-0.0380722	0.564356435643564	0	4	8158
206	610	61003468	61096469	49	17	0	2.74696	-0.753725	0.346938775510204	0	1	8552
207	98	9800991	9898414	318	215	0	4.65602	-1.42783	0.676100628930818	0	8	8704
207	167	16700803	16798566	369	143	0	3.8775	-0.607664	0.387533875338753	0	9	8772
207	309	30900356	30999983	179	60	0	3.35023	-0.988518	0.335195530726257	0	3	8914
208	82	8200038	8299342	248	176	0	3.49548	0.740839	0.709677419354839	0	6	9290
208	299	29901737	29995444	114	52	0	4.42924	-0.24282	0.456140350877193	0	2	9507
208	308	30809366	30899665	93	51	0	2.8418	-0.585053	0.548387096774194	0	1	9516
208	309	30902819	30988417	129	79	0	3.01398	0.586618	0.612403100775194	0	2	9517
208	512	51200031	51299658	249	194	0	3.48474	0.379072	0.779116465863454	0	7	9720
208	585	58535932	58599172	181	113	0	3.81686	0.477998	0.624309392265193	0	4	9793
208	591	59111477	59145984	52	45	0	3.3272	1.48265	0.865384615384615	0	1	9799
209	110	11000244	11099991	808	598	0	5.13012	0.10554	0.74009900990099	0	10	10059
209	111	11100032	11196038	839	484	0	3.623	0.195109	0.576877234803337	0	10	10060
209	224	22407952	22499803	602	269	0	3.05251	-0.306493	0.446843853820598	0	10	10173
210	264	26400527	26498600	267	117	0	2.93072	-1.10015	0.438202247191011	0	6	10794
210	413	41300149	41399923	364	208	0	4.00034	-0.919978	0.571428571428571	0	8	10943
210	431	43102320	43197558	366	183	0	3.17812	-0.0855776	0.5	0	8	10961
210	524	52400912	52499951	208	109	0	2.81793	0.973166	0.524038461538462	0	4	11054
211	185	18500157	18599920	262	131	0	4.46165	-0.780585	0.5	0	7	11300
211	196	19600047	19699947	439	326	0	4.56123	-0.19609	0.742596810933941	0	10	11311
211	257	25701865	25799151	171	93	0	2.7718	0.0731889	0.543859649122807	0	4	11372
211	276	27600286	27699849	241	88	0	4.69611	-0.404532	0.365145228215768	0	6	11391
211	277	27700596	27798275	132	67	0	4.31373	-0.0185364	0.507575757575758	0	2	11392
211	288	28800382	28898595	145	56	0	3.04176	-1.0785	0.386206896551724	0	3	11403
211	294	29401123	29499973	202	177	0	4.81002	-0.83321	0.876237623762376	0	5	11409
211	295	29500250	29596813	243	163	0	4.17743	0.498086	0.670781893004115	0	6	11410
211	428	42800999	42899928	262	123	0	3.90393	-0.492476	0.469465648854962	0	7	11543
211	572	57200004	57299477	160	54	0	2.81059	1.14102	0.3375	0	3	11687
212	382	38200049	38299990	251	128	0	2.95641	-0.982065	0.50996015936255	0	5	12147
212	397	39700362	39785991	298	131	0	3.38414	-1.32702	0.439597315436242	0	6	12162
212	467	46701154	46796128	142	62	0	3.151	-0.68086	0.436619718309859	0	2	12231
212	504	50402906	50499944	365	177	0	3.52884	-1.04095	0.484931506849315	0	8	12268
214	480	48000220	48099842	267	177	0	3.79209	0.314558	0.662921348314607	0	5	12864
214	607	60701347	60799665	411	162	0	3.86481	0.134329	0.394160583941606	0	9	12990
215	45	4500081	4594877	537	324	0	3.46659	0.807408	0.603351955307263	0	10	13036
215	151	15100821	15199508	192	103	0	5.01343	-1.17139	0.536458333333333	0	3	13142
215	192	19201375	19299982	255	121	0	2.71732	0.0623249	0.474509803921569	0	6	13183
215	552	55200288	55299549	198	88	0	3.29502	-0.52387	0.444444444444444	0	4	13542
216	144	14400452	14472584	80	28	0	2.89067	0.454995	0.35	0	1	13753
216	254	25400088	25499374	204	117	0	3.15441	0.792456	0.573529411764706	0	4	13862
217	153	15300115	15399493	479	349	0	4.83225	0.14024	0.728601252609603	0	9	14135
217	236	23600092	23699512	355	145	0	3.31826	-0.50925	0.408450704225352	0	7	14218
217	412	41200030	41295112	191	72	0	2.697	-0.270199	0.37696335078534	0	3	14394
217	415	41500210	41599211	422	308	0	3.72394	-0.105996	0.729857819905213	0	8	14397
217	461	46101200	46198023	247	104	0	2.94905	-0.212813	0.421052631578947	0	4	14443
217	476	47601943	47697873	331	124	0	3.37554	-1.17314	0.374622356495468	0	6	14458
218	156	15602682	15699950	303	127	0	4.08183	-0.361444	0.419141914191419	0	6	14657
218	361	36100032	36198465	704	323	0	3.49753	-0.734433	0.458806818181818	0	10	14862
218	404	40400167	40499839	575	262	0	4.3893	-0.0463926	0.455652173913043	0	10	14905
219	132	13200158	13299896	247	98	0	3.31309	0.0840825	0.396761133603239	0	7	15154
219	135	13500527	13599735	172	84	0	3.13267	0.59249	0.488372093023256	0	5	15157
219	244	24400132	24499939	392	290	0	3.93901	-0.244714	0.739795918367347	0	10	15259
219	321	32100101	32193919	716	379	0	3.80094	-0.545585	0.529329608938548	0	10	15335
220	215	21503851	21599634	339	152	0	2.84408	-0.238313	0.448377581120944	0	7	15589
220	217	21700263	21799721	445	214	0	4.66731	0.4912	0.480898876404494	0	9	15591
220	315	31500632	31599900	245	169	0	4.41099	-0.706614	0.689795918367347	0	5	15689
220	316	31600378	31699576	340	275	0	4.68959	0.78554	0.808823529411765	0	7	15690
220	317	31700522	31799847	342	316	0	4.67631	1.39401	0.923976608187134	0	8	15691
220	318	31802481	31898477	253	128	0	3.85087	0.918762	0.505928853754941	0	5	15692
220	319	31901923	31999303	367	230	11	3.6944	-2.81193	0.626702997275204	0.0299727520435967	8	15693
220	509	50900023	50998696	664	384	0	3.38623	-0.264946	0.578313253012048	0	10	15882
220	515	51501244	51599008	236	158	0	4.6693	1.04497	0.669491525423729	0	5	15888
220	516	51601239	51697554	312	280	0	4.10739	0.687722	0.897435897435897	0	7	15889
221	11	1100078	1199304	547	360	0	4.90527	1.2826	0.658135283363803	0	10	16044
221	12	1200291	1299907	348	277	0	4.60274	1.4522	0.795977011494253	0	9	16045
221	13	1302703	1399685	298	148	0	3.69194	-0.314673	0.496644295302013	0	8	16046
221	94	9400009	9499899	467	280	0	2.75089	1.18515	0.599571734475375	0	10	16126
221	95	9500189	9599699	356	139	0	2.56781	0.704504	0.390449438202247	0	9	16127
221	97	9700678	9799965	588	341	0	3.91293	0.593523	0.579931972789116	0	10	16129
221	99	9902023	9995116	283	194	0	2.83462	0.669003	0.685512367491166	0	7	16131
221	330	33000282	33098675	237	93	0	3.50381	0.0112108	0.392405063291139	0	6	16362
221	536	53600850	53699607	227	108	0	3.69168	0.448746	0.475770925110132	0	5	16566
222	79	7900190	7999293	180	79	0	2.81643	0.279174	0.438888888888889	0	3	16650
222	86	8600031	8699607	224	223	0	4.83498	1.89762	0.995535714285714	0	5	16657
222	87	8700046	8797737	186	95	0	3.64518	-1.0394	0.510752688172043	0	4	16658
222	92	9200092	9299508	250	102	0	2.69046	0.538799	0.408	0	6	16663
222	157	15701031	15799634	59	39	0	3.29652	0.283184	0.661016949152542	0	1	16728
222	181	18105335	18199749	93	53	0	4.09445	0.723743	0.56989247311828	0	1	16752
222	182	18201770	18298384	301	301	0	5.65066	3.60062	1	0	7	16753
222	189	18900301	18999357	134	73	0	3.71013	-0.581246	0.544776119402985	0	2	16760
222	196	19602457	19699954	155	114	0	3.7217	0.589713	0.735483870967742	0	2	16767
222	438	43800145	43899645	193	80	0	2.95734	0.238526	0.414507772020725	0	4	17009
224	55	5500366	5590988	440	229	0	3.55651	-0.147469	0.520454545454546	0	9	17160
224	73	7312412	7399654	290	127	0	3.59444	-1.55731	0.437931034482759	0	6	17178
224	304	30400045	30498785	155	68	0	4.07963	-1.52937	0.438709677419355	0	1	17406
224	324	32400111	32499785	201	92	5	3.86304	-2.45737	0.45771144278607	0.0248756218905473	3	17426
224	325	32500859	32599627	257	148	0	3.4781	1.12064	0.575875486381323	0	5	17427
224	326	32600176	32699654	258	173	0	4.41032	0.931448	0.670542635658915	0	5	17428
224	421	42100008	42198209	172	94	0	3.5857	-0.80357	0.546511627906977	0	2	17523
225	64	6400416	6496439	306	161	0	3.75519	-0.193815	0.526143790849673	0	5	17595
225	413	41301457	41399970	454	197	0	3.72751	-0.169971	0.433920704845815	0	9	17943
225	414	41400358	41498984	457	254	0	3.5673	0.10919	0.555798687089716	0	9	17944
225	451	45100263	45199158	457	187	0	3.59895	0.395248	0.409190371991247	0	9	17981
226	181	18100080	18199966	441	223	0	3.7281	-1.32771	0.505668934240363	0	10	18167
227	280	28000324	28099885	618	330	0	3.69773	0.130827	0.533980582524272	0	10	18680
227	366	36600732	36698558	210	81	0	3.45564	-0.866937	0.385714285714286	0	3	18766
